person	position	institution	address	year
Ahmed Aboulfadl Bey	Juge	Tribunal Mixte de Mansourah		1943
Abdelazim el-Chakankiri	Juge	Tribunal Mixte de Mansourah		1943
Mohamed Aly Rateb	Juge	Tribunal Mixte de Mansourah		1943
Mohamed Aly Roushdi	Juge	Tribunal Mixte de Mansourah		1943
Hussein Idris	Juge	Tribunal Mixte de Mansourah		1943
Don Fernando de Ugarto y Pagès	Juge délégué à Port-Said	Tribunal Mixte de Mansourah		1943
S.E. Mohamed Helmy Issa Pacha	Ministre	Ministère de la Justice	Rue Nubar Pacha, 84650, Le Caire.,	1941
S.E. Mohamed Mahmoud Bey	Sous-Secrétaire d'Etat	Ministère de la Justice		1941
S.E. Moustafa Mohamed Pacha	Président	Cour de Cassation	Midan Bab-el-Khalk, 85198, Le Caire	1941
S.E. Mohamed Fahmy Hussein Pacha	Vice-Président	Cour de Cassation		1941
Abdel-Fattah el-Sayed Bey	Conseiller	Cour de Cassation		1941
Mohamed Kamel el-Rachidi Bey	Conseiller	Cour de Cassation		1941
Aly Haidar Hegazi Bey	Conseiller	Cour de Cassation		1941
Ahmed Mokhtar Bey	Conseiller	Cour de Cassation		1941
Sayed Moustafa Bey	Conseiller	Cour de Cassation		1941
Mohamed Zaki Aly Bey	Conseiller	Cour de Cassation		1941
Mohamed Kamel Moursy Bey	Conseiller	Cour de Cassation		1941
Mansour Ismail Bey	Conseiller	Cour de Cassation		1941
Yassine Ahmed Pacha	Président	Cour d'Appel Nationale	Midan Bab-el-Khalk, 85786, Le Caire.	1941
S.E. Mohamed Zaghloul Bey	Vice-Président	Cour d'Appel Nationale		1941
S.E. Ahmed Nazif Bey	Président	Cour d'Appel National, Assiout		1941
S.E. Hassan Farid Bey	Vice-Président	Cour d'Appel National, Assiout		1941
S.E. Abdelrahman EI-Toayar Pacha	Procureur Général	Parquet Général des Juridictions Nationales	Midan Bab-el-Khalk, 84803, Le Caire.	1941
Moustafa Marei Bey	Avocat-Général	Parquet Général des Juridictions Nationales		1941
Mtre. Mahmoud Bassiouni	Bâtonnier de l'Ordre des Avocats près les Juridictions Indigènes	Barreau National		1941
Constant Van Ackere	Président	Cour d'Appel Mixte	Place Mohamed Aly, 26289, Alexandrie.	1941
S.E. Scandar Azer Bey	Vice-Président	Cour d'Appel Mixte		1941
Jasper Yates Brinton	Conseiller	Cour d'Appel Mixte		1941
Alfonso Aguirre J. Cancer Comte de Andino	Conseiller	Cour d'Appel Mixte		1941
Moustafa Naguib Bey	Conseiller	Cour d'Appel Mixte		1941
Erling Qvale	Conseiller	Cour d'Appel Mixte		1941
